model,MAE,RMSE
"Naive (yesterday, same hour)",26.28152825836217,67.16189585166084
"Naive (last week, same hour)",16.54049532231193,41.058718474998415
Historical average,18.98725678736972,44.61134204281788
LightGBM (tuned),10.759587582358462,22.029744857016336
LightGBM v2 (refined),10.460742632243349,21.896453239723026
